hhid	pid	sim_id	mobile_sim_ownership	mobile_sim_access	nb_handsets	network	contract	airtime_expt	calls_per_day	coverage	first_usage_m	first_usage_y	reason_multiple1	reason_multiple2	reason_multiple_other	reason_separate	reason_separate_other
1351018.0	2	1	1		1	1	2	2000	3	1	2	2001					
1351056.0	1	1	1		1	1	2	750	5	1	8	2000					
1351066.0	1	1	1		1	1	2	8000	10	1	99	2002					
1351076.0	1	1	1		1	1	2	3000	8	1	99	2003					
1351095.0	2	1	1		1	1	2	500	2	2	99	2002					
1352076.0	1	1	2	1		1	2	100	1	2	7	2007					
1352067.0	1	1	1		2	1	2	1000	2	2	7	2006	1				
1352067.0	1	2	1		2	2	2	300	1	1	7	2006	1				
1352002.0	1	1	1		1	1	2	500	5	1	2	2008					
1352011.0	1	1	1		1	1	2	500	3	1	3	2005					
1352004.0	1	1	1		1	1	2	800	5	1	7	2006					
1352047.0	1	1	1		1	1	2	600	4	1	99	2007					
1352039.0	2	1	1		1	1	2	50	3	1	1	2002					
1352007.0	2	1	1		1	1	2	100	1	1	6	2005					
1352057.0	1	1	2	1		1	2	200	1	1	3	2007					
1353093.0	1	1	1		1	1	2	400	2	1	6	2002					
1353111.0	1	1	1		1	1	2	200	4	1	99	2008					
1353121.0	1	1	1		1	1	2	2000	4	1	8	2000	6				
1353121.0	1	2	1		1	1	2	400	2	1	8	2000	6				
1353121.0	1	3	1		1	2	2	90	1	1	8	2000	6				
1353065.0	1	1	2	1		1	2	600	2	1	6	2007					
1353125.0	1	1	1		1	2	2	9999999	2	1	2	2007					
1353014.0	1	1	1		1	1	2	800	5	2	12	2006					
1353086.0	1	1	2	1		1	2	100	1	1	9	2007					
1353009.0	1	1	1		1	2	2	300	1	1	5	2007					
1354088.0	1	1	1		1	1	2	900	5	1	9	2004					
1354066.0	1	1	1		1	1	2	600	2	1	99	2004					
1354013.0	1	1	1		1	1	2	100	2	1	4	2006					
1354023.0	1	1	1		1	1	2	6000	15	1	2	2003					
1354083.0	1	1	1		1	1	2	300	1	1	99	2006					
1354056.0	1	1	1		1	1	2	80	2	1	1	2008					
1354077.0	1	1	1		1	1	2	2500	6	1	11	2003					
1354045.0	2	1	1		1	1	2	400	3	1	11	2007					
1354034.0	1	1	1		2	1	1	3000	3	1	2	2004					
1355070.0	1	1	1		1	1	1	2000	6	1	4	2001					
1355089.0	1	1	1		1	2	1	4000	6	1	6	2000					
1355001.0	1	1	1		1	1	1	3000	1	1	7	2001					
1355052.0	2	1	1		1	1	1	3000	10	1	3	2002					
1355042.0	1	1	1		1	1	1	4000	15	1	12	1999					
1355009.0	1	1	1		1	1	2	3000	15	1	7	2001					
1355014.0	1	1	1		1	2	1	3000	20	1	6	2000					
1356039.0	3	1	1		1	1	2	2000	2	1	99	2005	2			4	
1356039.0	3	2	1		1	1	2	9999999	999	1	99	2005	2			4	
1356060.0	1	1	1		1	1	2	4500	10	1	1	2005					
1356053.0	1	1	1		1	2	2	2000	10	1	6	2005					
1356055.0	2	1	1		1	1	2	600	6	1	3	2003					
1356004.0	1	1	1		1	1	2	1000	15	1	7	2005					
1356011.0	2	1	1		1	1	2	600	1	1	99	2007					
1356018.0	1	1	1		1	1	2	1000	5	1	10	2003					
1356025.0	3	1	1		1	1	2	2000	5	1	9	2003					
1356026.0	1	1	1		1	1	2	2008	6	1	10	2004					
1357035.0	2	1	2	1		1	2	9999999	1	1	99	2007					
1357032.0	1	1	1		1	2	2	1500	4	1	99	2004					
1357003.0	1	1	1		1	1	2	3000	3	1	99	2006					
1357016.0	1	1	1		1	1	2	1000	2	1	99	2008					
1357002.0	1	1	1		1	1	2	600	3	1	6	2007					
1357025.0	1	1	1		1	3	2	800	1	1	99	2006					
1357054.0	1	1	1		1	1	2	2500	1	1	3	2004					
1357061.0	1	1	1		1	1	2	300	3	2	1	2008					
1357029.0	1	1	1		1	1	2	300	2	1	99	9999					
1365040.0	1	1	2	1		1	2	500	6	1	2	2005					
1365031.0	1	1	1		1	1	2	5300	999	1	7	2004					
1365013.0	1	1	1		1	2	1	2000	3	1	3	2004					
1365068.0	2	1	1		1	1	2	500	1	1	99	2006					
1365077.0	1	1	1		1	3	2	6000	15	2	4	9999					
1365049.0	2	1	1		1	2	2	200	3	1	7	2006					
1365059.0	2	1	1		1	2	2	200	999	1	6	2004					
1365003.0	1	1	2	1		1	2	2000	5	1	3	2004					
1261034.0	1	1	1		1	3	1	3000	4	1	1	2005					
1261079.0	2	1	1		1	1	2	1600	7	1	99	2006					
1261056.0	1	1	1		1	1	2	300	2	1	2	2006					
1261058.0	2	1	1		1	1	2	700	3	2	99	2006					
1261090.0	2	1	1		1	1	2	1800	3	1	2	2002					
1261102.0	1	1	1		2	1	2	3000	5	1	99	2001	3				
1261102.0	1	2	1		2	1	2	500	2	1	99	2001	3				
1261023.0	1	1	1		1	1	1	1000	3	2	8	2004					
1261113.0	1	1	1		1	1	2	9999999	6	1	1	2004					
1261011.0	1	1	1		1	1	2	4000	3	1	11	2000					
1261045.0	1	1	1		1	1	2	2000	4	2	7	2007					
1262031.0	1	1	1		1	1	2	1500	10	1	8	2004					
1262009.0	1	1	1		1	1	2	3500	12	1	10	2003					
